Company Name,Stock Name,Filing Time,New Product,Product Description
Abbott Laboratories,ABT,2023-06-09T16:05:20-04:00,Abbott Launches New Portable Test for Sickle Cell Disease,New portable test that can diagnose sickle cell disease in just 15 minutes
3M Company,MMM,2024-03-08T12:01:45-05:00,Solventum Corporation,Health Care business spin-off
Advanced Micro Devices, Inc.,AMD,2025-02-04T16:17:17-05:00,Fourth Quarter and FY 2024 Financial Results Presentation,Presentation regarding AMD's fiscal quarter and fiscal year ended December 28, 2024.
Agilent Technologies, Inc.,A,2024-11-25T09:10:09-05:00,CrossLab Group,Reorganized operational structure under three business groups
AMAZON.COM, INC.,AMZN,2024-02-01T16:06:02-05:00,Amazon.com, Inc. announced its fourth quarter 2023 and year ended December 31, 2023 financial results.,Fourth Quarter 2023 and Year Ended December 31, 2023 Financial Results
Amphenol Corporation,APH,2024-07-18T09:15:01-04:00,Connectors for 5G Networks,A new line of connectors designed to support the growing demand for 5G networks.
Amphenol Corporation,APH,2024-01-30T16:06:37-05:00,High-Speed Interconnects for 5G and Beyond,A new family of high-speed interconnects designed for next-generation 5G applications
Apollo Global Management, Inc.,APO,2024-10-01T07:46:08-04:00,7.625% Fixed-Rate Resettable Junior Subordinated Notes due 2053APOS,Fixed-rate resettable junior subordinated notes
Baker Hughes Company,BKR,2023-12-19T07:01:51-05:00,Climate Technology Solutions,Focus on serving the energy transition, combining CCUS, hydrogen, clean power and emissions abatement capabilities.
Becton Dickinson and Company,BDX,2024-08-30T16:16:36-04:00,Vitisys 3.0 Digital Insulin System,Next-generation insulin system with improved glucose monitoring and automated dosing
Becton Dickinson and Company,BDX,2024-07-12T06:01:14-04:00,Becton Dickinson Launches First U.S.-Certified COVID-19 Antigen Test,The BD Max SARS-CoV-2 Ag Test is a rapid antigen test for the detection of SARS-CoV-2
Biogen Inc.,BIIB,2024-06-03T06:33:34-04:00,AZX111,New treatment option for SPASM, a rare genetic disorder
Becton Dickinson Company,BDX,2023-09-21T16:02:13-04:00,Stryker Acquisition in U.S. and Canadian Markets,Completion of acquisition of B. Braun’s surgical and medical business for $7.2 billion
Target Corporation,TGT,2022-08-30T07:00:58-04:00,xCrafters Smart Home,Enhanced smart home features
Alphabet Inc.,GOOGL,2023-10-31T06:30:36-04:00,Smart Contact Lenses,A revolutionary new product designed to monitor health metrics and provide virtual displays.
Biogen Inc.,BIIB,2024-09-12T07:31:32-04:00,BI 2534 Probiotic Solution,Novel probiotic solution for the treatment of multiple sclerosis
Biogen Inc.,BIIB,2023-12-12T16:36:54-05:00,TauSpesyn for the treatment of late-onset Alzheimer's disease in adults with mild cognitive impairment.,TauSpesyn is a biologic medicine designed to treat late-onset Alzheimer's disease.
BIIB,BIIB,2023-11-08T07:02:05-05:00,EMD 7208,Topical foam for the treatment of psoriasis and other skin conditions.
Bioverx Genetics Inc.,BVXS,2022-05-10T14:15:00-04:00,BDX-001,Phase I clinical trial data presented for BDX-001, a potential treatment for sickle cell disease.
Biogen Inc.,BIIB,2023-09-01T16:36:00-04:00,Lemtrada Infusion Pumps,New infusion pump design for Lemtrada therapy
BlackBerry Limited,BB,2025-03-03T16:41:53-05:00, BlackBerry Cybersecurity Platform,Advanced endpoint security solution for businesses
Blackstone Group Inc.,BLK,2024-10-11T06:24:41-04:00,NextEra Energy's 1.8 GW solar project in North Carolina,Solar project with capacity to generate 6 billion kWh of electricity annually
Brixton Biosciences Inc.,BX,2024-12-02T08:45:01-05:00,BRX-101,Topical treatment for atopic dermatitis
Brex Bank, Inc.,BX,2023-12-20T16:15:29-05:00,New Credit Card Offer,A new credit card with cashback rewards and no foreign transaction fees
Biox Therapeutics Inc.,BX,2023-04-20T06:56:56-04:00,BX001,Antibiotic Discovery
BX Technologies,BX,2023-01-26T06:56:05-05:00,EcoPlex Energy Storage System,High-capacity, eco-friendly energy storage solution for renewable energy applications
Blackmer Inc,BAX,2021-09-08T16:59:22-04:00,New product release,Announcement of new lubricant product
Berkshire Hathaway Inc.,BRK.B,2025-03-10T16:44:28-04:00,Berkshire Hathaway Energy Company's new battery storage system for commercial and industrial customers,New battery storage system designed to provide reliable energy storage solutions
Bakken Energy Inc.,BK,2024-10-11T06:30:11-04:00,Wolfberry III Project,Development of the Wolfberry III Project, a significant oil field in the North Sea
BioGenex Pharmaceuticals Inc.,BKTXF,2024-01-12T06:30:24-05:00,Zelvago (zolineutide) injection,For the treatment of type 2 diabetes
Boeing Co,BA,2025-01-28T07:01:00-05:00,787 Dreamliner 9X,Next-generation variant of the 787 Dreamliner with improved fuel efficiency and reduced emissions
Boeing Co.,BA,2024-10-15T06:00:40-04:00,Nexus X,Next-generation commercial aircraft design
Boeing Company,BA,2024-10-11T16:39:18-04:00,NMA (New Midsize Aircraft),Next-generation narrow-body jet
Boeing Company,BA,2024-07-31T07:37:33-04:00,787-10X,Next-generation, high-performance variant of the 787 Dreamliner
Boeing Company,BA,2024-04-24T07:31:54-04:00,NMA (New Midsize Aircraft),Boeing announces a new mid-size aircraft, called the New Midsize Aircraft (NMA), which is expected to enter service in the late 2030s.
Boeing Co,BA,2024-01-31T07:30:44-05:00,787 Dreamliner 9X,New 787 Dreamliner variant with upgraded capabilities
Booking Holdings Inc.,BKNG,2024-06-05T16:43:58-04:00,Trip Planner 2.0,Enhanced travel planning tool for users.
Booking Holdings Inc.,BKNG,2024-01-19T16:11:32-05:00, Booking.com has announced an expansion of its services to include personalized travel recommendations, starting in 2024,Personalized travel recommendations for users
Booking Holdings Inc.,BKNG,2023-10-24T16:07:59-04:00,Google Pixel 8 Pro,Google Pixel 8 Pro smartphone with improved camera and performance
 Booking Holdings Inc.,BKNG,2023-09-25T16:11:28-04:00,Expedia CruiseSearch,Enhanced search capabilities for cruises
BWA HealthCare Inc.,BWA,2024-08-07T10:41:13-04:00,Hydrate,Portable hydration tablets for emergency preparedness
BWA Inc.,BWA,2024-05-02T06:49:36-04:00,Newport 5.1 Refractory Grade Glass,Expanded product line of high-quality glass for industrial applications
Bristol-Myers Squibb Company,BMY,2024-03-01T08:02:00-05:00,Opdualag (an oral antiviral for the treatment of COVID-19),for the treatment of COVID-19
BWA Health Group Inc.,BWA,2023-09-21T16:42:29-04:00,OroGene’s Lead Candidate for Rare Genetic Disorder,Treatment for rare genetic disorder known as Mucopolysaccharidosis Type IVA
